"","COMMON_NAME","SCIENTIFIC_NAME","ID_RANK","WORMS"
"7863","Arctic surfclam","Mactromeris polynyma","species",156863
"7864","spinyhead sculpin","Dasycottus setiger","species",280488
"7865","Tanner crab","Chionoecetes bairdi","species",368558
"7866",NA,"Dipsacaster sp.","genus",178680
"7867","Kamchatka flounder","Atheresthes evermanni","species",279791
"7868","Oregon triton","Fusitriton oregonensis","species",476496
"7869","tentacle-shedding anemone","Liponema brevicorne","species",593074
"7870","Alaskan hermit","Pagurus ochotensis","species",366742
"7871",NA,"Crangon sp.","genus",107007
"7872","butter sole","Isopsetta isolepis","species",281189
"7873",NA,"Chrysaora melanaster","species",287209
"7874",NA,"Crangon sp.","genus",107007
"7875","Alaska skate","Arctoraja parmifera","species",1577324
"7876","rex sole","Glyptocephalus zachirus","species",274287
"7877","circumboreal toad crab","Hyas coarctatus","species",107323
"7878","Tanner crab","Chionoecetes bairdi","species",368558
"7879","Pacific capelin","Mallotus villosus","species",126735
"7880","notched brittlestar","Ophiura sarsii","species",124934
"7881",NA,"Neptunea heros","species",254479
"7882","Alaska skate egg case","Arctoraja parmifera egg case","species",NA
"7883","flathead sole","Hippoglossoides elassodon","species",274289
"7884","green sea urchin","Strongylocentrotus droebachiensis","species",124321
"7885","rex sole","Glyptocephalus zachirus","species",274287
"7886","rex sole","Glyptocephalus zachirus","species",274287
"7887","Alaska skate egg case","Arctoraja parmifera egg case","species",NA
"7888","notched brittlestar","Ophiura sarsii","species",124934
"7889","ribbed bryozoan","Rhamphostomella costata","species",111140
"7890","Pacific halibut","Hippoglossus stenolepis","species",274290
"7891","wattled eelpout","Lycodes palearis","species",254585
"7892","snail egg","Gastropoda egg","class",NA
"7893","arrowtooth flounder","Atheresthes stomias","species",279792
"7894","daubed shanny","Leptoclinus maculatus","species",127072
"7895","walleye pollock","Gadus chalcogrammus","species",300735
"7896","shortfin eelpout","Lycodes brevipes","species",254595
"7897","hairy hermit crab","Pagurus capillatus","species",254489
"7898","empty bivalve shells",NA,NA,NA
"7899","Alaskan pink shrimp","Pandalus eous","species",515463
"7900","snow crab","Chionoecetes opilio","species",107315
"7901","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"7902","Alaskan hermit","Pagurus ochotensis","species",366742
"7903","rex sole","Glyptocephalus zachirus","species",274287
"7904","hydroid unid.","Hydroidolina","subclass",19494
"7905","Pribilof whelk","Neptunea pribiloffensis","species",491185
"7906","giant scale worm","Eunoe nodosa","species",130745
"7907",NA,"Metridium sp.","genus",100770
"7908","knobbyhand hermit","Pagurus confragosus","species",366670
"7909","hairy hermit crab","Pagurus capillatus","species",254489
"7910","Kamchatka flounder","Atheresthes evermanni","species",279791
"7911","giant octopus","Enteroctopus dofleini","species",342305
"7912","Alaska skate","Arctoraja parmifera","species",1577324
"7913","warped whelk","Pyrulofusus deformis","species",254378
"7914","Bering skate","Bathyraja interrupta","species",271515
"7915","hairy hermit crab","Pagurus capillatus","species",254489
"7916","Kamchatka flounder","Atheresthes evermanni","species",279791
"7917","sea whip or sea pen unid.","Pennatuloidea","superfamily",1609360
"7918","basketstar","Gorgonocephalus eucnemis","species",124969
"7919","longfinger hermit","Pagurus rathbuni","species",254491
"7920","hairy hermit crab","Pagurus capillatus","species",254489
"7921","yellow Irish lord","Hemilepidotus jordani","species",254522
"7922","Tanner crab","Chionoecetes bairdi","species",368558
"7923","Oregon triton","Fusitriton oregonensis","species",476496
"7924",NA,"Strongylocentrotus sp.","genus",123390
"7925","sturgeon poacher","Podothecus accipenserinus","species",254501
"7926","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"7927","Bering skate egg case","Bathyraja interrupta egg case","species",NA
"7928",NA,"Latisipho hypolispus","species",491062
"7929","spatulate sculpin","Icelus spatula","species",127200
"7930","ladder whelk","Buccinum scalariforme","species",138875
"7931","empty gastropod shells",NA,NA,NA
"7932","wattled eelpout","Lycodes palearis","species",254585
"7933","walleye pollock","Gadus chalcogrammus","species",300735
"7934","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"7935","Pacific herring","Clupea pallasii","species",151159
"7936","monster snailfish","Careproctus phasma","species",274460
"7937","empty bivalve shells",NA,NA,NA
"7938","depressed scale worm","Eunoe depressa","species",254455
"7939","peachskin snailfish","Careproctus scottae","species",274470
"7940","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"7941","shortfin eelpout","Lycodes brevipes","species",254595
"7942",NA,"Neptunea heros","species",254479
"7943",NA,"Chrysaora melanaster","species",287209
"7944","Alaskan pink shrimp","Pandalus eous","species",515463
"7945","longfinger hermit","Pagurus rathbuni","species",254491
"7946","bryozoan unid.","Bryozoa","phylum",146142
"7947","Pacific cod","Gadus macrocephalus","species",254538
"7948","walleye pollock","Gadus chalcogrammus","species",300735
"7949","Pribilof whelk","Neptunea pribiloffensis","species",491185
"7950","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"7951","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"7952",NA,"Neptunea heros","species",254479
"7953","yellowfin sole","Limanda aspera","species",254562
"7954","Alaska great-tellin","Megangulus luteus","species",423511
"7955","purple-orange sea star","Asterias amurensis","species",254497
"7956","empty bivalve shells",NA,NA,NA
"7957","oblique smoothcockle","Serripes notabilis","species",582751
"7958","Alaska skate","Arctoraja parmifera","species",1577324
"7959","hairy hermit crab","Pagurus capillatus","species",254489
"7960","Alaska skate","Arctoraja parmifera","species",1577324
"7961","flathead sole","Hippoglossoides elassodon","species",274289
"7962",NA,"Neptunea heros","species",254479
"7963","fragile whelk","Volutopsius fragilis","species",491385
"7964","yellowfin sole","Limanda aspera","species",254562
"7965","red king crab","Paralithodes camtschaticus","species",233889
"7966","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"7967","roughspine sculpin","Triglops macellus","species",274399
"7968","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"7969","basketstar","Gorgonocephalus eucnemis","species",124969
"7970","northern rock sole","Lepidopsetta polyxystra","species",281307
"7971",NA,"Pyrulofusus melonis","species",491325
"7972","Pacific cod","Gadus macrocephalus","species",254538
"7973","northern rock sole","Lepidopsetta polyxystra","species",281307
"7974","Alaskan hermit","Pagurus ochotensis","species",366742
"7975","arrowtooth flounder","Atheresthes stomias","species",279792
"7976","yellowfin sole","Limanda aspera","species",254562
"7977","warped whelk","Pyrulofusus deformis","species",254378
"7978","Tanner crab","Chionoecetes bairdi","species",368558
"7979","Tanner crab","Chionoecetes bairdi","species",368558
"7980","Bering poacher","Occella dodecaedron","species",254398
"7981","empty gastropod shells",NA,NA,NA
"7982","snail egg","Gastropoda egg","class",NA
"7983",NA,"Henricia sp.","genus",123276
"7984","Pacific halibut","Hippoglossus stenolepis","species",274290
"7985","walleye pollock","Gadus chalcogrammus","species",300735
"7986","splendid hermit","Labidochirus splendescens","species",248348
"7987","Pacific cod","Gadus macrocephalus","species",254538
"7988","ladder whelk","Buccinum scalariforme","species",138875
"7989",NA,"Argis sp.","genus",107006
"7990","blue king crab","Paralithodes platypus","species",254493
"7991","snow crab","Chionoecetes opilio","species",107315
"7992","yellowfin sole","Limanda aspera","species",254562
"7993","shorthorn (=warty) sculpin","Myoxocephalus scorpius","species",127203
"7994","fat whelk","Neptunea ventricosa","species",156264
"7995","empty bivalve shells",NA,NA,NA
"7996","ribbed sculpin","Triglops pingelii","species",127207
"7997",NA,"Chrysaora melanaster","species",287209
"7998","empty gastropod shells",NA,NA,NA
"7999","knobbyhand hermit","Pagurus confragosus","species",366670
"8000","purple-orange sea star","Asterias amurensis","species",254497
"8001","spinyhead sculpin","Dasycottus setiger","species",280488
"8002","Tanner crab","Chionoecetes bairdi","species",368558
"8003","lyre whelk","Neptunea lyrata","species",254477
"8004","northern rock sole","Lepidopsetta polyxystra","species",281307
"8005","Pacific lyre crab","Hyas lyratus","species",442167
"8006","Bering skate","Bathyraja interrupta","species",271515
"8007","arrowtooth flounder","Atheresthes stomias","species",279792
"8008",NA,"Leptasterias arctica","species",369158
"8009","Tanner crab","Chionoecetes bairdi","species",368558
"8010","snow crab","Chionoecetes opilio","species",107315
"8011","Pacific cod","Gadus macrocephalus","species",254538
"8012","nudibranch unid.","Nudibranchia","order",1762
"8013","leafy bryozoan","Serratiflustra serrulata","species",465722
"8014","Aleutian hermit","Pagurus aleuticus","species",366647
"8015","snow crab","Chionoecetes opilio","species",107315
"8016",NA,"Neptunea heros","species",254479
"8017","sea potato","Styela rustica","species",103937
"8018","spinyhead sculpin","Dasycottus setiger","species",280488
"8019","empty gastropod shells",NA,NA,NA
"8020","flathead sole","Hippoglossoides elassodon","species",274289
"8021","knobbyhand hermit","Pagurus confragosus","species",366670
"8022","Greenland cockle","Serripes groenlandicus","species",582749
"8023","peachskin snailfish","Careproctus scottae","species",274470
"8024","bryozoan unid.","Bryozoa","phylum",146142
"8025",NA,"Boreotrophon sp.","genus",146731
"8026","empty gastropod shells",NA,NA,NA
"8027","shortfin eelpout","Lycodes brevipes","species",254595
"8028","tube worm unid.",NA,NA,NA
"8029","angular whelk","Buccinum angulosum","species",138858
"8030","empty bivalve shells",NA,NA,NA
"8031","blue king crab","Paralithodes platypus","species",254493
"8032","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8033","unsorted catch and debris",NA,NA,NA
"8034","walleye pollock","Gadus chalcogrammus","species",300735
"8035","basketstar","Gorgonocephalus eucnemis","species",124969
"8036","purple-orange sea star","Asterias amurensis","species",254497
"8037","angular whelk","Buccinum angulosum","species",138858
"8038","discordant mussel","Musculus discors","species",140472
"8039","Pacific halibut","Hippoglossus stenolepis","species",274290
"8040","Alaska skate","Arctoraja parmifera","species",1577324
"8041","walleye pollock","Gadus chalcogrammus","species",300735
"8042","unsorted catch and debris",NA,NA,NA
"8043","arrowtooth flounder","Atheresthes stomias","species",279792
"8044",NA,"Argis sp.","genus",107006
"8045",NA,"Chrysaora melanaster","species",287209
"8046","flathead sole","Hippoglossoides elassodon","species",274289
"8047","shortfin eelpout","Lycodes brevipes","species",254595
"8048","whitespotted greenling","Hexagrammos stelleri","species",254545
"8049","helmet crab","Telmessus cheiragonus","species",254360
"8050","plain sculpin","Myoxocephalus jaok","species",254527
"8051","purple-orange sea star","Asterias amurensis","species",254497
"8052","snail egg","Gastropoda egg","class",NA
"8053","Alaskan hermit","Pagurus ochotensis","species",366742
"8054","starry flounder","Platichthys stellatus","species",154781
"8055",NA,"Aplidium sp.","genus",103471
"8056","Pacific halibut","Hippoglossus stenolepis","species",274290
"8057","fat whelk","Neptunea ventricosa","species",156264
"8058","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8059","giant sea star","Evasterias echinosoma","species",254498
"8060","Arctic surfclam","Mactromeris polynyma","species",156863
"8061",NA,"Urticina sp.","genus",100706
"8062","northern rock sole","Lepidopsetta polyxystra","species",281307
"8063","walleye pollock","Gadus chalcogrammus","species",300735
"8064","yellowfin sole","Limanda aspera","species",254562
"8065","sea potato","Styela rustica","species",103937
"8066","Alaskan pink shrimp","Pandalus eous","species",515463
"8067","yellowfin sole","Limanda aspera","species",254562
"8068","arrowtooth flounder","Atheresthes stomias","species",279792
"8069","snail egg","Gastropoda egg","class",NA
"8070","flathead sole","Hippoglossoides elassodon","species",274289
"8071","Tanner crab","Chionoecetes bairdi","species",368558
"8072","Pacific cod","Gadus macrocephalus","species",254538
"8073","sponge unid.","Porifera","phylum",558
"8074","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8075","Pacific halibut","Hippoglossus stenolepis","species",274290
"8076","Pacific lyre crab","Hyas lyratus","species",442167
"8077","rex sole","Glyptocephalus zachirus","species",274287
"8078","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"8079","obscure sea star","Pteraster obscurus","species",124149
"8080","northern rock sole","Lepidopsetta polyxystra","species",281307
"8081","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"8082","wattled eelpout","Lycodes palearis","species",254585
"8083","red king crab","Paralithodes camtschaticus","species",233889
"8084",NA,"Leptasterias polaris","species",125154
"8085","hydroid unid.","Hydroidolina","subclass",19494
"8086","yellowfin sole","Limanda aspera","species",254562
"8087","hairy hermit crab","Pagurus capillatus","species",254489
"8088","Pacific cod","Gadus macrocephalus","species",254538
"8089","Pacific halibut","Hippoglossus stenolepis","species",274290
"8090","giant scale worm","Eunoe nodosa","species",130745
"8091","barbed eualid","Eualus barbatus","species",515222
"8092","keeled Aforia","Aforia circinata","species",432904
"8093","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"8094","Aleutian hermit","Pagurus aleuticus","species",366647
"8095",NA,"Neptunea heros","species",254479
"8096","empty gastropod shells",NA,NA,NA
"8097","Bering skate","Bathyraja interrupta","species",271515
"8098","Kamchatka flounder","Atheresthes evermanni","species",279791
"8099","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8100","Tanner crab","Chionoecetes bairdi","species",368558
"8101",NA,"Crangon sp.","genus",107007
"8102","hairy hermit crab","Pagurus capillatus","species",254489
"8103","snail egg","Gastropoda egg","class",NA
"8104","flathead sole","Hippoglossoides elassodon","species",274289
"8105","common mud star","Ctenodiscus crispatus","species",123915
"8106","whitebarred prickleback","Poroclinus rothrocki","species",254385
"8107","notched brittlestar","Ophiura sarsii","species",124934
"8108","purple-orange sea star","Asterias amurensis","species",254497
"8109",NA,"Argis sp.","genus",107006
"8110","Pribilof whelk","Neptunea pribiloffensis","species",491185
"8111","Pacific cod","Gadus macrocephalus","species",254538
"8112","warped whelk","Pyrulofusus deformis","species",254378
"8113","sturgeon poacher","Podothecus accipenserinus","species",254501
"8114","basketstar","Gorgonocephalus eucnemis","species",124969
"8115",NA,"Strongylocentrotus sp.","genus",123390
"8116","basketstar","Gorgonocephalus eucnemis","species",124969
"8117",NA,"Leptasterias arctica","species",369158
"8118",NA,"Clinocardium sp.","genus",156818
"8119","splendid hermit","Labidochirus splendescens","species",248348
"8120",NA,"Odontohenricia sp.","genus",291581
"8121",NA,"Crangon sp.","genus",107007
"8122","empty bivalve shells",NA,NA,NA
"8123","peachskin snailfish","Careproctus scottae","species",274470
"8124","snow crab","Chionoecetes opilio","species",107315
"8125",NA,"Neptunea heros","species",254479
"8126","arrowtooth flounder","Atheresthes stomias","species",279792
"8127","common mud star","Ctenodiscus crispatus","species",123915
"8128",NA,"Chrysaora melanaster","species",287209
"8129","lyre whelk","Neptunea lyrata","species",254477
"8130","flathead sole","Hippoglossoides elassodon","species",274289
"8131","lyre whelk","Neptunea lyrata","species",254477
"8132","Bering flounder","Hippoglossoides robustus","species",254561
"8133","snow crab","Chionoecetes opilio","species",107315
"8134","circumboreal toad crab","Hyas coarctatus","species",107323
"8135","rusty moonsnail","Cryptonatica russa","species",580692
"8136","ladder whelk","Buccinum scalariforme","species",138875
"8137","moonsnail egg unid.","Naticidae egg","family",NA
"8138","Alaska skate","Arctoraja parmifera","species",1577324
"8139","Alaska skate egg case","Arctoraja parmifera egg case","species",NA
"8140","bent-nose Macoma","Macoma nasuta","species",582761
"8141","lyre whelk","Neptunea lyrata","species",254477
"8142","longhead dab","Myzopsetta proboscidea","species",319505
"8143",NA,"Metridium sp.","genus",100770
"8144","Arctic surfclam","Mactromeris polynyma","species",156863
"8145","ribbed sculpin","Triglops pingelii","species",127207
"8146","Pacific cod","Gadus macrocephalus","species",254538
"8147","Pacific halibut","Hippoglossus stenolepis","species",274290
"8148","sea onion","Boltenia ovifera","species",103815
"8149","red king crab","Paralithodes camtschaticus","species",233889
"8150","Arctic surfclam","Mactromeris polynyma","species",156863
"8151","wattled eelpout","Lycodes palearis","species",254585
"8152","Pacific lyre crab","Hyas lyratus","species",442167
"8153","basketstar","Gorgonocephalus eucnemis","species",124969
"8154","Bering skate egg case","Bathyraja interrupta egg case","species",NA
"8155","Alaska razor","Siliqua alta","species",413689
"8156","Pacific halibut","Hippoglossus stenolepis","species",274290
"8157","basketstar","Gorgonocephalus eucnemis","species",124969
"8158","snail egg","Gastropoda egg","class",NA
"8159","Arctic surfclam","Mactromeris polynyma","species",156863
"8160","arrowtooth flounder","Atheresthes stomias","species",279792
"8161",NA,"Ophiura sp.","genus",123574
"8162","spinycheek starsnout","Bathyagonus infraspinatus","species",254504
"8163","sawback poacher","Sarritor frenatus","species",254374
"8164","empty gastropod shells",NA,NA,NA
"8165","blackspined sea star","Lethasterias nanimensis","species",254499
"8166","yellowfin sole","Limanda aspera","species",254562
"8167","knobbyhand hermit","Pagurus confragosus","species",366670
"8168","sea onion","Boltenia ovifera","species",103815
"8169","Pacific capelin","Mallotus villosus","species",126735
"8170","snow crab","Chionoecetes opilio","species",107315
"8171","longfinger hermit","Pagurus rathbuni","species",254491
"8172","walleye pollock","Gadus chalcogrammus","species",300735
"8173","empty gastropod shells",NA,NA,NA
"8174","arrowtooth flounder","Atheresthes stomias","species",279792
"8175","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8176","Pacific halibut","Hippoglossus stenolepis","species",274290
"8177","jellyfish unid.","Scyphozoa","class",135220
"8178","Aleutian hermit","Pagurus aleuticus","species",366647
"8179","hairy hermit crab","Pagurus capillatus","species",254489
"8180","Oregon triton","Fusitriton oregonensis","species",476496
"8181","Bering wolffish","Anarhichas orientalis","species",254511
"8182","notched brittlestar","Ophiura sarsii","species",124934
"8183","Pacific halibut","Hippoglossus stenolepis","species",274290
"8184","Bering skate","Bathyraja interrupta","species",271515
"8185","walleye pollock","Gadus chalcogrammus","species",300735
"8186","yellowfin sole","Limanda aspera","species",254562
"8187","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8188",NA,"Leptasterias arctica","species",369158
"8189","purple-orange sea star","Asterias amurensis","species",254497
"8190","lyre whelk","Neptunea lyrata","species",254477
"8191","Aleutian alligatorfish","Aspidophoroides monopterygius","species",159459
"8192","Oregon triton","Fusitriton oregonensis","species",476496
"8193",NA,"Crangon sp.","genus",107007
"8194","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8195","basketstar","Gorgonocephalus eucnemis","species",124969
"8196","lyre whelk","Neptunea lyrata","species",254477
"8197","Alaskan pink shrimp","Pandalus eous","species",515463
"8198",NA,"Leptasterias polaris","species",125154
"8199","Pacific halibut","Hippoglossus stenolepis","species",274290
"8200",NA,"Neptunea heros","species",254479
"8201",NA,"Chrysaora melanaster","species",287209
"8202","brown rimmed jelly","Aurelia limbata","species",158199
"8203","northern rock sole","Lepidopsetta polyxystra","species",281307
"8204",NA,"Chrysaora melanaster","species",287209
"8205","basketstar","Gorgonocephalus eucnemis","species",124969
"8206","bigmouth sculpin","Hemitripterus bolini","species",254541
"8207","basketstar","Gorgonocephalus eucnemis","species",124969
"8208","Aleutian hermit","Pagurus aleuticus","species",366647
"8209",NA,"Neptunea heros","species",254479
"8210","Bering flounder","Hippoglossoides robustus","species",254561
"8211","tentacle-shedding anemone","Liponema brevicorne","species",593074
"8212","thorny sculpin","Icelus spiniger","species",254525
"8213",NA,"Plicifusus kroyeri","species",491269
"8214","rex sole","Glyptocephalus zachirus","species",274287
"8215","spinyhead sculpin","Dasycottus setiger","species",280488
"8216","thorny sculpin","Icelus spiniger","species",254525
"8217","sponge unid.","Porifera","phylum",558
"8218","splendid hermit","Labidochirus splendescens","species",248348
"8219","empty bivalve shells",NA,NA,NA
"8220","Alaska skate","Arctoraja parmifera","species",1577324
"8221","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"8222",NA,"Leptasterias polaris","species",125154
"8223","thorny sculpin","Icelus spiniger","species",254525
"8224",NA,"Leptasterias polaris","species",125154
"8225","Alaska skate","Arctoraja parmifera","species",1577324
"8226","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"8227",NA,"Eualus sp.","genus",106986
"8228","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"8229","flathead sole","Hippoglossoides elassodon","species",274289
"8230","hairy hermit crab","Pagurus capillatus","species",254489
"8231","Alaskan pink shrimp","Pandalus eous","species",515463
"8232",NA,"Colus sp.","genus",137704
"8233","Pribilof whelk","Neptunea pribiloffensis","species",491185
"8234","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8235","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8236","sinuous whelk","Buccinum plectrum","species",160127
"8237","walleye pollock","Gadus chalcogrammus","species",300735
"8238","longfinger hermit","Pagurus rathbuni","species",254491
"8239","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8240","empty gastropod shells",NA,NA,NA
"8241","Pacific herring","Clupea pallasii","species",151159
"8242","walleye pollock","Gadus chalcogrammus","species",300735
"8243","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8244","plain sculpin","Myoxocephalus jaok","species",254527
"8245","red king crab","Paralithodes camtschaticus","species",233889
"8246","Bering wolffish","Anarhichas orientalis","species",254511
"8247","bryozoan unid.","Bryozoa","phylum",146142
"8248","empty gastropod shells",NA,NA,NA
"8249","northern rock sole","Lepidopsetta polyxystra","species",281307
"8250","yellowfin sole","Limanda aspera","species",254562
"8251","sawback poacher","Sarritor frenatus","species",254374
"8252","empty bivalve shells",NA,NA,NA
"8253","hydroid unid.","Hydroidolina","subclass",19494
"8254","yellowfin sole","Limanda aspera","species",254562
"8255","Pacific cod","Gadus macrocephalus","species",254538
"8256","Pacific cod","Gadus macrocephalus","species",254538
"8257",NA,"Colus sp.","genus",137704
"8258","flathead sole","Hippoglossoides elassodon","species",274289
"8259","parma sand dollar","Echinarachnius parma","species",158062
"8260","whitebarred prickleback","Poroclinus rothrocki","species",254385
"8261","Oregon triton","Fusitriton oregonensis","species",476496
"8262","Pribilof whelk","Neptunea pribiloffensis","species",491185
"8263","Kamchatka flounder","Atheresthes evermanni","species",279791
"8264","amphipod unid.","Amphipoda","order",1135
"8265","yellowfin sole","Limanda aspera","species",254562
"8266","wattled eelpout","Lycodes palearis","species",254585
"8267","empty bivalve shells",NA,NA,NA
"8268","sturgeon poacher","Podothecus accipenserinus","species",254501
"8269","empty bivalve shells",NA,NA,NA
"8270","sea potato","Styela rustica","species",103937
"8271","Alaska skate","Arctoraja parmifera","species",1577324
"8272","snow crab","Chionoecetes opilio","species",107315
"8273",NA,"Metridium sp.","genus",100770
"8274",NA,"Volutopsius sp.","genus",137715
"8275","starry flounder","Platichthys stellatus","species",154781
"8276","yellow Irish lord","Hemilepidotus jordani","species",254522
"8277","Kamchatka flounder","Atheresthes evermanni","species",279791
"8278","sawback poacher","Sarritor frenatus","species",254374
"8279","hydroid unid.","Hydroidolina","subclass",19494
"8280","flathead sole","Hippoglossoides elassodon","species",274289
"8281","flathead sole","Hippoglossoides elassodon","species",274289
"8282",NA,"Chrysaora melanaster","species",287209
"8283","Kamchatka flounder","Atheresthes evermanni","species",279791
"8284","spinyhead sculpin","Dasycottus setiger","species",280488
"8285","northern rock sole","Lepidopsetta polyxystra","species",281307
"8286","Aleutian hermit","Pagurus aleuticus","species",366647
"8287","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8288","blackspined sea star","Lethasterias nanimensis","species",254499
"8289","spinyhead sculpin","Dasycottus setiger","species",280488
"8290","whitebarred prickleback","Poroclinus rothrocki","species",254385
"8291","Aleutian hermit","Pagurus aleuticus","species",366647
"8292",NA,"Volutopsius sp.","genus",137715
"8293","snow crab","Chionoecetes opilio","species",107315
"8294","Pacific cod","Gadus macrocephalus","species",254538
"8295","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"8296","arrowtooth flounder","Atheresthes stomias","species",279792
"8297","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8298","purple-orange sea star","Asterias amurensis","species",254497
"8299","wattled eelpout","Lycodes palearis","species",254585
"8300","gigantic anemone","Metridium farcimen","species",283704
"8301","Pacific cod","Gadus macrocephalus","species",254538
"8302","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8303","depressed scale worm","Eunoe depressa","species",254455
"8304","Alaskan pink shrimp","Pandalus eous","species",515463
"8305","snail egg","Gastropoda egg","class",NA
"8306","snail egg","Gastropoda egg","class",NA
"8307","shortfin eelpout","Lycodes brevipes","species",254595
"8308","giant scale worm","Eunoe nodosa","species",130745
"8309",NA,"Leptasterias polaris","species",125154
"8310","Aleutian hermit","Pagurus aleuticus","species",366647
"8311","Oregon triton","Fusitriton oregonensis","species",476496
"8312","Tanner crab","Chionoecetes bairdi","species",368558
"8313","lyre whelk","Neptunea lyrata","species",254477
"8314",NA,"Leptychaster anomalus","species",368318
"8315","Kamchatka flounder","Atheresthes evermanni","species",279791
"8316","thorny sculpin","Icelus spiniger","species",254525
"8317","yellow Irish lord","Hemilepidotus jordani","species",254522
"8318","northern rock sole","Lepidopsetta polyxystra","species",281307
"8319",NA,"Leptychaster anomalus","species",368318
"8320","ladder whelk","Buccinum scalariforme","species",138875
"8321","Pacific cod","Gadus macrocephalus","species",254538
"8322","Pribilof whelk","Neptunea pribiloffensis","species",491185
"8323","empty gastropod shells",NA,NA,NA
"8324","common mud star","Ctenodiscus crispatus","species",123915
"8325","thorny sculpin","Icelus spiniger","species",254525
"8326","Bering beringius","Beringius behringii","species",160112
"8327","Alaska skate","Arctoraja parmifera","species",1577324
"8328","nudibranch unid.","Nudibranchia","order",1762
"8329","sea mouse unid.","Aphroditidae","family",938
"8330","sturgeon poacher","Podothecus accipenserinus","species",254501
"8331","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8332","thorny sculpin","Icelus spiniger","species",254525
"8333","notched brittlestar","Ophiura sarsii","species",124934
"8334","empty gastropod shells",NA,NA,NA
"8335","empty bivalve shells",NA,NA,NA
"8336","flathead sole","Hippoglossoides elassodon","species",274289
"8337","empty bivalve shells",NA,NA,NA
"8338","plain sculpin","Myoxocephalus jaok","species",254527
"8339","parma sand dollar","Echinarachnius parma","species",158062
"8340","sturgeon poacher","Podothecus accipenserinus","species",254501
"8341","fat whelk","Neptunea ventricosa","species",156264
"8342","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"8343","empty bivalve shells",NA,NA,NA
"8344","whitespotted greenling","Hexagrammos stelleri","species",254545
"8345","Arctic surfclam","Mactromeris polynyma","species",156863
"8346","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"8347","plain sculpin","Myoxocephalus jaok","species",254527
"8348","flathead sole","Hippoglossoides elassodon","species",274289
"8349",NA,"Chrysaora melanaster","species",287209
"8350","starry flounder","Platichthys stellatus","species",154781
"8351","Alaska great-tellin","Megangulus luteus","species",423511
"8352","empty bivalve shells",NA,NA,NA
"8353","sturgeon poacher","Podothecus accipenserinus","species",254501
"8354","bent-nose Macoma","Macoma nasuta","species",582761
"8355","purple-orange sea star","Asterias amurensis","species",254497
"8356","flathead sole","Hippoglossoides elassodon","species",274289
"8357","Kamchatka flounder","Atheresthes evermanni","species",279791
"8358","snow crab","Chionoecetes opilio","species",107315
"8359",NA,"Chrysaora melanaster","species",287209
"8360","purple-orange sea star","Asterias amurensis","species",254497
"8361","Pacific halibut","Hippoglossus stenolepis","species",274290
"8362","sturgeon poacher","Podothecus accipenserinus","species",254501
"8363",NA,"Pteraster tesselatus","species",369053
"8364","empty gastropod shells",NA,NA,NA
"8365","rex sole","Glyptocephalus zachirus","species",274287
"8366",NA,"Eunoe sp.","genus",129487
"8367","empty gastropod shells",NA,NA,NA
"8368","threaded sculpin","Gymnocanthus pistilliger","species",254519
"8369","empty bivalve shells",NA,NA,NA
"8370","purple-orange sea star","Asterias amurensis","species",254497
"8371","Tanner crab","Chionoecetes bairdi","species",368558
"8372","Dover sole","Microstomus pacificus","species",274294
"8373","flathead sole","Hippoglossoides elassodon","species",274289
"8374","Pacific cod","Gadus macrocephalus","species",254538
"8375",NA,"Neptunea heros","species",254479
"8376","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"8377","splendid hermit","Labidochirus splendescens","species",248348
